Player,Position,Age,Minutes,Goals,Assists,PK,PKatt,Shots,SoT,CrdY,CrdR,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Accuracy,Prog_Passes,Carries,Prog_Carries,Take_Ons_Att,Take_Ons_Succ,SofaScore_Rating
Pau Victor Delgado,Midfielder,23,16,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,2,2,1,0,0,6.5
Frenkie de Jong,Midfielder,27,120,0,0,0,0,0,0,0,0,138,1,1,1,0.0,0.0,0.1,3,1,119,126,94.4,25,101,6,2,0,7.0
Gerard Martín,Defender,23,120,0,2,0,0,0,0,0,0,124,3,1,2,0.0,0.0,1.1,4,2,81,108,75.0,4,67,2,0,0,8.1
Iñigo Martínez,Defender,33,75,0,0,0,0,0,0,1,0,70,1,1,1,0.0,0.0,0.0,0,0,53,63,84.1,7,44,1,0,0,6.5
Ronald Araújo,Defender,26,45,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,27,28,96.4,3,14,0,1,1,6.4
Pau Cubarsí,Defender,18,104,0,0,0,0,0,0,0,0,72,0,3,2,0.0,0.0,0.0,0,0,63,64,98.4,5,40,0,0,0,6.2
Gavi,Defender,20,16,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,6,0,0,0,6.6
Eric García,Defender,24,97,1,0,0,0,2,2,0,0,97,1,3,2,0.7,0.7,0.2,2,0,77,84,91.7,14,58,1,4,2,7.4
Héctor Fort,Defender,18,23,0,0,0,0,1,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,18,19,94.7,1,15,0,0,0,6.7
Luuk de Jong,Forward,34,65,0,0,0,0,2,1,0,0,24,0,0,0,0.2,0.2,0.0,2,1,13,19,68.4,0,7,0,0,0,6.8
Johan Bakayoko,Forward,21,25,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,4,2,1,0,6.4
Noa Lang,Forward,25,90,1,0,1,1,2,0,0,0,60,1,0,0,0.9,0.1,0.1,7,0,35,49,71.4,8,34,6,1,0,7.0
Ivan Perišić,Forward,36,90,0,0,0,0,2,0,0,0,52,2,2,1,0.1,0.1,0.1,4,0,27,42,64.3,5,28,3,2,2,7.0
Guus Til,Midfielder,27,90,0,0,0,0,0,0,0,0,33,1,1,1,0.0,0.0,0.0,0,0,24,28,85.7,2,14,0,0,0,6.0
Ismael Saibari,Midfielder,24,81,0,0,0,0,1,0,0,0,38,3,0,1,0.1,0.1,0.0,2,0,24,30,80.0,6,21,5,1,0,6.0
Jerdy Schouten,Midfielder,28,90,0,0,0,0,0,0,0,0,47,0,3,2,0.0,0.0,0.0,1,1,35,40,87.5,3,25,2,0,0,6.1
Tyrell Malacia,Defender,25,90,0,0,0,0,2,0,1,0,54,2,3,0,0.0,0.0,0.3,5,0,33,44,75.0,4,27,2,0,0,6.0
Olivier Boscagli,Defender,27,81,0,0,0,0,0,0,0,0,75,3,1,3,0.0,0.0,0.0,0,0,55,67,82.1,2,40,1,0,0,6.3
Armando Obispo,Defender,25,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,3,0,0,0,6.3
Ryan Flamingo,Defender,22,45,0,0,0,0,1,0,0,0,41,0,0,2,0.1,0.1,0.0,0,0,27,35,77.1,2,26,0,0,0,5.6
Adamo Nagalo,Defender,22,45,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,1,0,22,24,91.7,1,18,0,0,0,6.0
Richy Ledezma,Defender,24,65,0,0,0,0,1,0,0,0,55,1,1,0,0.0,0.0,0.0,1,0,41,48,85.4,3,35,2,1,0,6.3
Rick Karsdorp,Defender,30,25,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,4,0,0,0,6.1
Mikel Merino,Forward,28,76,1,1,0,0,1,1,0,0,40,2,1,2,0.1,0.1,0.1,2,2,20,29,69.0,1,16,0,1,0,8.2
Kieran Tierney,Forward,27,14,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.1,1,0,4,5,80.0,3,2,0,0,0,7.1
